,period_open,period_close,transactions,positions,gross_leverage,starting_exposure,net_leverage,returns,ending_exposure,starting_value,ending_value,starting_cash,ending_cash,portfolio_value,longs_count,shorts_count,long_value,short_value,long_exposure,pnl,short_exposure,capital_used,orders,BTC,algorithm_period_return,alpha,beta,sharpe,sortino,max_drawdown,max_leverage,excess_return,treasury_period_return,trading_days,period_label,algo_volatility,benchmark_period_return,benchmark_volatility
2018-01-22 21:00:00+00:00,2018-01-22 14:31:00+00:00,2018-01-22 21:00:00+00:00,[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,100000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,"[{'id': '843297a26d83443c89b6a3d32b9860e5', 'dt': Timestamp('2018-01-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2018-01-22 21:00:00+0000', tz='UTC'), 'amount': 100, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [AAPL]), 'status': <ORDER_STATUS.OPEN: 0>}]",44.25,0.0,,,,,0.0,0.0,0.0,0.0,1,2018-01,,0.0,
2018-01-23 21:00:00+00:00,2018-01-23 14:31:00+00:00,2018-01-23 21:00:00+00:00,"[{'amount': 100, 'dt': Timestamp('2018-01-23 21:00:00+0000', tz='UTC'), 'price': 44.282129999999995, 'order_id': '843297a26d83443c89b6a3d32b9860e5', 'sid': Equity(3 [AAPL]), 'commission': None}]","[{'sid': Equity(3 [AAPL]), 'amount': 100, 'cost_basis': 44.28313, 'last_sale_price': 44.26}]",0.04426102375747951,0.0,0.04426102375747951,-2.3130000000093354e-05,4426.0,0.0,4426.0,100000.0,95571.68699999999,99997.68699999999,1,0,4426.0,0.0,4426.0,-2.313000000009197,0.0,-4428.313,"[{'id': '843297a26d83443c89b6a3d32b9860e5', 'dt': Timestamp('2018-01-23 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2018-01-22 21:00:00+0000', tz='UTC'), 'amount': 100, 'filled': 100, 'commission': 0.1, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [AAPL]), 'status': <ORDER_STATUS.FILLED: 1>}]",44.26,-2.3130000000093354e-05,,,-11.224972160321826,-11.224972160321823,-2.3130000000151084e-05,0.04426102375747951,0.0,0.0,2,2018-01,0.0002596336060692917,0.0,0.0
2018-01-24 21:00:00+00:00,2018-01-24 14:31:00+00:00,2018-01-24 21:00:00+00:00,[],"[{'sid': Equity(3 [AAPL]), 'amount': 100, 'cost_basis': 44.28313, 'last_sale_price': 43.555}]",0.04358673681067396,4426.0,0.04358673681067396,-0.0007050163070271287,4355.5,4426.0,4355.5,95571.68699999999,95571.68699999999,99927.18699999999,1,0,4355.5,0.0,4355.5,-70.5,0.0,0.0,[],43.555,-0.000728130000000049,,,-9.619692914700096,-9.46074923905584,-0.0007281300000001067,0.04426102375747951,0.0,0.0,3,2018-01,0.006358237246515423,0.0,0.0
2018-01-25 21:00:00+00:00,2018-01-25 14:31:00+00:00,2018-01-25 21:00:00+00:00,[],"[{'sid': Equity(3 [AAPL]), 'amount': 100, 'cost_basis': 44.28313, 'last_sale_price': 42.778}]",0.0428424835072012,4355.5,0.0428424835072012,-0.0007775661692548397,4277.8,4355.5,4277.8,95571.68699999999,95571.68699999999,99849.487,1,0,4277.8,0.0,4277.8,-77.69999999999709,0.0,0.0,[],42.778,-0.0015051300000000767,,,-14.145031701876595,-11.383705957346901,-0.0015051300000000368,0.04426102375747951,0.0,0.0,4,2018-01,0.006706233538747389,0.0,0.0
2018-01-26 21:00:00+00:00,2018-01-26 14:31:00+00:00,2018-01-26 21:00:00+00:00,[],"[{'sid': Equity(3 [AAPL]), 'amount': 100, 'cost_basis': 44.28313, 'last_sale_price': 42.877}]",0.042937375531856614,4277.8,0.042937375531856614,9.914923248421914e-05,4287.7,4277.8,4287.7,95571.68699999999,95571.68699999999,99859.38699999999,1,0,4287.7,0.0,4287.7,9.89999999999418,0.0,0.0,[],42.877,-0.0014061300000001165,,,-10.55262064456677,-9.511431360195287,-0.0015051300000000368,0.04426102375747951,0.0,0.0,5,2018-01,0.00671783719657456,0.0,0.0
2018-01-29 21:00:00+00:00,2018-01-29 14:31:00+00:00,2018-01-29 21:00:00+00:00,[],"[{'sid': Equity(3 [AAPL]), 'amount': 100, 'cost_basis': 44.28313, 'last_sale_price': 41.99}]",0.042086509838305516,4287.7,0.042086509838305516,-0.0008882489935573279,4199.0,4287.7,4199.0,95571.68699999999,95571.68699999999,99770.68699999999,1,0,4199.0,0.0,4199.0,-88.69999999999709,0.0,0.0,[],41.99,-0.0022931300000000876,,,-13.420740678743124,-10.814477750484553,-0.0022931300000000477,0.04426102375747951,0.0,0.0,6,2018-01,0.007181579338730173,0.0,0.0
2018-01-30 21:00:00+00:00,2018-01-30 14:31:00+00:00,2018-01-30 21:00:00+00:00,[],"[{'sid': Equity(3 [AAPL]), 'amount': 100, 'cost_basis': 44.28313, 'last_sale_price': 41.743}]",0.04184930266918909,4199.0,0.04184930266918909,-0.0002475677049311731,4174.3,4199.0,4174.3,95571.68699999999,95571.68699999999,99745.987,1,0,4174.3,0.0,4174.3,-24.69999999999709,0.0,0.0,[],41.743,-0.002540130000000085,,,-13.855703615170865,-10.916909787290033,-0.002540130000000147,0.04426102375747951,0.0,0.0,7,2018-01,0.006605631909020861,0.0,0.0
2018-01-31 21:00:00+00:00,2018-01-31 14:31:00+00:00,2018-01-31 21:00:00+00:00,[],"[{'sid': Equity(3 [AAPL]), 'amount': 100, 'cost_basis': 44.28313, 'last_sale_price': 41.857}]",0.0419587974973723,4174.3,0.0419587974973723,0.00011429031225085318,4185.7,4174.3,4185.7,95571.68699999999,95571.68699999999,99757.38699999999,1,0,4185.7,0.0,4185.7,11.39999999999418,0.0,0.0,[],41.857,-0.0024261300000001373,,,-11.454919312948917,-9.752770589272561,-0.002540130000000147,0.04426102375747951,0.0,0.0,8,2018-01,0.006677028554854827,0.0,0.0
2018-02-01 21:00:00+00:00,2018-02-01 14:31:00+00:00,2018-02-01 21:00:00+00:00,[],"[{'sid': Equity(3 [AAPL]), 'amount': 100, 'cost_basis': 44.28313, 'last_sale_price': 41.945}]",0.04204330270735916,4185.7,0.04204330270735916,8.821401867709078e-05,4194.5,4185.7,4194.5,95571.68699999999,95571.68699999999,99766.18699999999,1,0,4194.5,0.0,4194.5,8.80000000000291,0.0,0.0,[],41.945,-0.0023381300000001604,,,-9.95576396216634,-8.86094016614514,-0.002540130000000147,0.04426102375747951,0.0,0.0,9,2018-02,0.006580762397241388,0.0,0.0
2018-02-02 21:00:00+00:00,2018-02-02 14:31:00+00:00,2018-02-02 21:00:00+00:00,[],"[{'sid': Equity(3 [AAPL]), 'amount': 100, 'cost_basis': 44.28313, 'last_sale_price': 40.125}]",0.04029254162611179,4194.5,0.04029254162611179,-0.0018242653695885735,4012.5,4194.5,4012.5,95571.68699999999,95571.68699999999,99584.18699999999,1,0,4012.5,0.0,4012.5,-182.0,0.0,0.0,[],40.125,-0.004158130000000093,,,-10.485342742679608,-9.096865574273002,-0.004158130000000142,0.04426102375747951,0.0,0.0,10,2018-02,0.01000790868692638,0.0,0.0
2018-02-05 21:00:00+00:00,2018-02-05 14:31:00+00:00,2018-02-05 21:00:00+00:00,[],"[{'sid': Equity(3 [AAPL]), 'amount': 100, 'cost_basis': 44.28313, 'last_sale_price': 39.123}]",0.039325926895149466,4012.5,0.039325926895149466,-0.00100618384322404,3912.2999999999997,4012.5,3912.2999999999997,95571.68699999999,95571.68699999999,99483.987,1,0,3912.2999999999997,0.0,3912.2999999999997,-100.19999999999709,0.0,0.0,[],39.123,-0.0051601300000001515,,,-11.958237597013602,-9.865047075981396,-0.0051601300000001515,0.04426102375747951,0.0,0.0,11,2018-02,0.009905091821895542,0.0,0.0
2018-02-06 21:00:00+00:00,2018-02-06 14:31:00+00:00,2018-02-06 21:00:00+00:00,[],"[{'sid': Equity(3 [AAPL]), 'amount': 100, 'cost_basis': 44.28313, 'last_sale_price': 40.757}]",0.04090122302956123,3912.2999999999997,0.04090122302956123,0.0016424753865160735,4075.7,3912.2999999999997,4075.7,95571.68699999999,95571.68699999999,99647.38699999999,1,0,4075.7,0.0,4075.7,163.39999999999418,0.0,0.0,[],40.757,-0.0035261300000003493,,,-5.477887543132636,-6.4446167415756355,-0.0051601300000001515,0.04426102375747951,0.0,0.0,12,2018-02,0.013524344486339508,0.0,0.0
2018-02-07 21:00:00+00:00,2018-02-07 14:31:00+00:00,2018-02-07 21:00:00+00:00,[],"[{'sid': Equity(3 [AAPL]), 'amount': 100, 'cost_basis': 44.28313, 'last_sale_price': 39.885}]",0.04006119434066552,4075.7,0.04006119434066552,-0.0008750856658187312,3988.5,4075.7,3988.5,95571.68699999999,95571.68699999999,99560.18699999999,1,0,3988.5,0.0,3988.5,-87.19999999999709,0.0,0.0,[],39.885,-0.004398130000000222,,,-6.466381853304489,-7.296453226320269,-0.0051601300000001515,0.04426102375747951,0.0,0.0,13,2018-02,0.01319891176866445,0.0,0.0
2018-02-08 21:00:00+00:00,2018-02-08 14:31:00+00:00,2018-02-08 21:00:00+00:00,[],"[{'sid': Equity(3 [AAPL]), 'amount': 100, 'cost_basis': 44.28313, 'last_sale_price': 38.787}]",0.039001356525641274,3988.5,0.039001356525641274,-0.0011028504797806482,3878.7,3988.5,3878.7,95571.68699999999,95571.68699999999,99450.38699999999,1,0,3878.7,0.0,3878.7,-109.80000000000291,0.0,0.0,[],38.787,-0.0054961300000002655,,,-7.5715704124662615,-8.120352747226129,-0.005496130000000221,0.04426102375747951,0.0,0.0,14,2018-02,0.013088980898256865,0.0,0.0
2018-02-09 21:00:00+00:00,2018-02-09 14:31:00+00:00,2018-02-09 21:00:00+00:00,[],"[{'sid': Equity(3 [AAPL]), 'amount': 100, 'cost_basis': 44.28313, 'last_sale_price': 39.103}]",0.039306613367101326,3878.7,0.039306613367101326,0.00031774637538628525,3910.3,3878.7,3910.3,95571.68699999999,95571.68699999999,99481.987,1,0,3910.3,0.0,3910.3,31.60000000000582,0.0,0.0,[],39.103,-0.0051801300000001715,,,-6.732942379910889,-7.392260093443558,-0.005496130000000221,0.04426102375747951,0.0,0.0,15,2018-02,0.012945166284541489,0.0,0.0
2018-02-12 21:00:00+00:00,2018-02-12 14:31:00+00:00,2018-02-12 21:00:00+00:00,[],"[{'sid': Equity(3 [AAPL]), 'amount': 100, 'cost_basis': 44.28313, 'last_sale_price': 40.678000000000004}]",0.040825180081467106,3910.3,0.040825180081467106,0.0015832011879697294,4067.8000000000006,3910.3,4067.8000000000006,95571.68699999999,95571.68699999999,99639.487,1,0,4067.8000000000006,0.0,4067.8000000000006,157.5,0.0,0.0,[],40.678000000000004,-0.0036051300000002895,,,-3.871958876952307,-4.973308300945467,-0.005496130000000221,0.04426102375747951,0.0,0.0,16,2018-02,0.01466343022167837,0.0,0.0
2018-02-13 21:00:00+00:00,2018-02-13 14:31:00+00:00,2018-02-13 21:00:00+00:00,[],"[{'sid': Equity(3 [AAPL]), 'amount': 100, 'cost_basis': 44.28313, 'last_sale_price': 41.085}]",0.04121681673811467,4067.8000000000006,0.04121681673811467,0.000408472596812981,4108.5,4067.8000000000006,4108.5,95571.68699999999,95571.68699999999,99680.18699999999,1,0,4108.5,0.0,4108.5,40.69999999999709,0.0,0.0,[],41.085,-0.0031981300000002433,,,-3.2890135496272856,-4.2781064060846825,-0.005496130000000221,0.04426102375747951,0.0,0.0,17,2018-02,0.014405965845054772,0.0,0.0
2018-02-14 21:00:00+00:00,2018-02-14 14:31:00+00:00,2018-02-14 21:00:00+00:00,[],"[{'sid': Equity(3 [AAPL]), 'amount': 100, 'cost_basis': 44.28313, 'last_sale_price': 41.842}]",0.04194439171294222,4108.5,0.04194439171294222,0.0007594287518741805,4184.2,4108.5,4184.2,95571.68699999999,95571.68699999999,99755.88699999999,1,0,4184.2,0.0,4184.2,75.69999999999709,0.0,0.0,[],41.842,-0.0024411300000003466,,,-2.3662141935558263,-3.1697689703501744,-0.005496130000000221,0.04426102375747951,0.0,0.0,18,2018-02,0.014418438317997977,0.0,0.0
2018-02-15 21:00:00+00:00,2018-02-15 14:31:00+00:00,2018-02-15 21:00:00+00:00,[],"[{'sid': Equity(3 [AAPL]), 'amount': 100, 'cost_basis': 44.28313, 'last_sale_price': 43.248}]",0.04329281369023518,4184.2,0.04329281369023518,0.0014094406277997962,4324.8,4184.2,4324.8,95571.68699999999,95571.68699999999,99896.487,1,0,4324.8,0.0,4324.8,140.60000000000582,0.0,0.0,[],43.248,-0.0010351300000003283,,,-0.9025373771244559,-1.3008372860464377,-0.005496130000000221,0.04426102375747951,0.0,0.0,19,2018-02,0.015099476880837097,0.0,0.0
